workerid,proliferate.condition,Word,content,exp,object,response,rt,slide_number_in_experiment,speakerGender,speakerName,utterance,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
1592,condition1,,,,Susan,Susan,0,1,,,bot_check,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,,Mary's aunt is sick,control,,1,17338,3,M,Richard,Is Mary's aunt sick?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,thrill,Fred missed the train,stim,,0,11650,4,M,Kenneth,Is Cynthia thrilled that Fred missed the train?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,elaborate,Charley spilled the wine,stim,,0.23,21100,5,F,Helen,Did Catherine elaborate that Charley spilled the wine?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,disgust,Tony had a drink last night,stim,,0.09,11440,6,F,Carol,Is Melissa disgusted that Tony had a drink last night?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,facinate,Dylan argued with his parents,stim,,0.01,8077,7,F,Sandra,Is Ruth fascinated that Dylan argued with his parents?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,torture,Sophia got a tattoo,stim,,0,7254,8,M,William,Is Justin tortured that Sophia got a tattoo?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,,Zack is coming to the meeting tomorrow,control,,1,8132,9,M,Logan,Is Zack coming to the meeting tomorrow?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,pain,Zoe calculated the tip,stim,,0.05,13020,10,F,Betty,Is Patrick pained that Zoe calculated the tip?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,anticipate,Audrey went to a party,stim,,0.17,9990,11,F,Donna,Did Noah anticipate that Audrey went to a party?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,fantasize,Connor fell from a tree,stim,,0.25,13130,12,F,Dorothy,Did Laura fantasize that Connor fell from a tree?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,charm,Danielle painted her room,stim,,0.07,7074,13,F,Michelle,Is Alan charmed that Danielle painted her room?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,scream,Allen went to the museum,stim,,0,9738,14,M,Steven,Did Amy scream that Allen went to the museum?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,,Todd played football in high school,control,,1,4810,15,F,Susan,Did Todd play football in high school?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,think,Josh learned to ride a bike yesterday,stim,,0.24,10254,16,M,David,Did Nicole think that Josh learned to ride a bike yesterday?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,gossip,Lucas bought new shoes,stim,,0.24,7506,17,M,Paul,Did Kaitlin gossip that Lucas bought new shoes?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,,Hendrick's car was expensive,control,,1,4386,18,F,Jessica,Was Hendrick's car expensive?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,,Vanessa is good at math,control,,1,5742,19,M,Mark,Is Vanessa good at math?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,offend,Grace visited her sister,stim,,0.28,7692,20,F,Karen,Is Ray offended that Grace visited her sister?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,bet,Emilia looked after the kids,stim,,0.16,9134,21,F,Sarah,Did Ben bet that Emilia looked after the kids?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,promise,Jason made a cake,stim,,0.18,7324,22,M,George,Is Rebecca promised that Jason made a cake?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,whine,Hannah called her parents,stim,,0.15,5672,23,F,Lisa,Did Scott whine that Hannah called her parents?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,require,Emily bought a car yesterday,stim,,0.13,6438,24,F,Ashley,Did Jerry require that Emily bought a car yesterday?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,cringe,Jayden rented a car,stim,,0.05,6854,25,F,Elizabeth,Did Anna cringe that Jayden rented a car?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,feel,Molly attended a conference last week,stim,,0,6760,26,M,Thomas,Did Andrew feel that Molly attended a conference last week?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,,Madison had a baby,control,,1,4356,27,M,Christopher,Did Madison have a baby?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,simulate,Josie went on vacation to France,stim,,0.36,16552,28,M,Robert,Did Eli simulate that Josie went on vacation to France?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,expose,Julian cleaned his room,stim,,0.06,7362,29,F,Kimberly,Did Brenda expose that Julian cleaned his room?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,testify,Owen shoveled snow last winter,stim,,0.26,8938,30,M,Matthew,Did Stephanie testify that Owen shoveled snow last winter?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,tweet,Louis went swimming,stim,,0.12,6118,31,F,Margaret,Did Amanda tweet that Louis went swimming?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,murmur,Mia drank 2 cocktails last night,stim,,0.62,11358,32,F,Nancy,Did Bobby murmur that Mia drank 2 cocktails last night?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,ignore,Danny ate the last cupcake,stim,,0.14,11834,33,F,Linda,Did Kathleen ignore that Danny ate the last cupcake?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,compute,Isabella ate a steak on Sunday,stim,,0.26,9690,34,F,Jennifer,Did Manuel compute that Isabella ate a steak on Sunday?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1592,condition1,surprise,Jackson ran 10 miles,stim,,0.02,7716,35,M,James,Is Shirley surprised that Jackson ran 10 miles?,[],24,No,,3,1,Male,English,Chrome,Windows,864,1536,6.577983333333333,
1593,condition1,,,,Linda,Linda,0,1,,,bot_check,[],57,Yes,,4,2,Female,English,Chrome,Linux,740,360,8.668,
1593,condition1,irritate,Olivia left her job,stim,,0.06,18718,3,M,Mark,Is Tim irritated that Olivia left her job?,[],57,Yes,,4,2,Female,English,Chrome,Linux,740,360,8.668,
