workerid,proliferate.condition,Word,content,exp,object,response,rt,slide_number_in_experiment,speakerGender,speakerName,utterance,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
1686,condition1,,,,Patricia,Patricia,0,1,,,bot_check,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1686,condition1,resent,Connor fell from a tree,stim,,0,4514,3,M,Robert,Did Rebecca resent that Connor fell from a tree?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1686,condition1,,Todd played football in high school,control,,1,4093,4,F,Donna,Did Todd play football in high school?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1686,condition1,pray,Charley spilled the wine,stim,,0,6697,5,M,David,Did Stephanie pray that Charley spilled the wine?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1686,condition1,thrill,Tony had a drink last night,stim,,0,4410,6,F,Lisa,Is Shirley thrilled that Tony had a drink last night?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1686,condition1,express,Danielle painted her room,stim,,0.55,7082,7,M,James,Did Bobby express that Danielle painted her room?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1686,condition1,,Mary's aunt is sick,control,,1,4247,8,M,Thomas,Is Mary's aunt sick?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1686,condition1,ignore,Natasha got a promotion,stim,,0,3561,9,F,Margaret,Did Andrew ignore that Natasha got a promotion?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1686,condition1,compute,Allen went to the museum,stim,,0,5209,10,F,Sandra,Did Amy compute that Allen went to the museum?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1686,condition1,weep,Dylan argued with his parents,stim,,0,4163,11,F,Jessica,Did Ruth weep that Dylan argued with his parents?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1686,condition1,pain,Molly attended a conference last week,stim,,0,4486,12,M,Paul,Is Tim pained that Molly attended a conference last week?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1686,condition1,enjoy,Danny ate the last cupcake,stim,,0,6271,13,M,William,Did Kaitlin enjoy that Danny ate the last cupcake?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1686,condition1,,Zack is coming to the meeting tomorrow,control,,1,2944,14,F,Karen,Is Zack coming to the meeting tomorrow?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1686,condition1,elaborate,Olivia left her job,stim,,0.43,5966,15,F,Helen,Did Jerry elaborate that Olivia left her job?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1686,condition1,simulate,Emma studied on Saturday morning,stim,,0.24,10558,16,F,Dorothy,Did Alan simulate that Emma studied on Saturday morning?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1686,condition1,trouble,Sophia got a tattoo,stim,,0,3438,17,F,Carol,Is Scott troubled that Sophia got a tattoo?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1686,condition1,,Vanessa is good at math,control,,1,3391,18,F,Ashley,Is Vanessa good at math?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1686,condition1,expose,Isabella ate a steak on Sunday,stim,,0,3729,19,F,Susan,Did Kevin expose that Isabella ate a steak on Sunday?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1686,condition1,embarrass,Owen shoveled snow last winter,stim,,0,3553,20,M,Christopher,Is Kathleen embarrassed that Owen shoveled snow last winter?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1686,condition1,,Madison had a baby,control,,1,2944,21,M,Logan,Did Madison have a baby?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1686,condition1,cringe,Lucas bought new shoes,stim,,0,3339,22,F,Kimberly,Did Sharon cringe that Lucas bought new shoes?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1686,condition1,promise,Grace visited her sister,stim,,0,3937,23,F,Sarah,Is Ray promised that Grace visited her sister?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1686,condition1,surprise,Audrey went to a party,stim,,0,3445,24,M,Steven,Is Francisco surprised that Audrey went to a party?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1686,condition1,shock,Jayden rented a car,stim,,0,2165,25,M,Matthew,Is Brenda shocked that Jayden rented a car?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1686,condition1,tweet,Hannah called her parents,stim,,0,4710,26,F,Betty,Did Ben tweet that Hannah called her parents?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1686,condition1,facinate,Josie went on vacation to France,stim,,0,3338,27,F,Linda,Is Manuel fascinated that Josie went on vacation to France?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1686,condition1,anticipate,Jackson ran 10 miles,stim,,0,2998,28,F,Jennifer,Did Regina anticipate that Jackson ran 10 miles?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
