workerid,proliferate.condition,age,asses,comments,education,enjoyment,gender,language,error
1686,condition1,24,Yes,,3,1,Female,English,
1701,condition1,44,Yes,,4,1,Female,English,
1613,condition1,30,Yes,,4,2,Male,English ,
1604,condition1,69,Yes,,3,2,Female,English,
1733,condition1,29,Yes,"None, thank you!",3,2,Female,English,
1745,condition1,19,Yes,,1,1,Female,English,
1606,condition1,33,Yes,Thankyou!,2,2,Female,English,
1704,condition1,27,No,,3,1,Male,English,
1683,condition1,18,Yes,,1,2,Female,english,
1717,condition1,35,Yes,,3,1,Female,English,
1644,condition1,24,Yes,Would be interesting to throw in answers that referred to the other person in the statements.,3,2,Male,English,
1721,condition1,56,Yes,no,3,2,Female,english,
1714,condition1,24,Yes,"I don't have any, sorry.",3,2,Male,Spanish/English,
1741,condition1,33,Yes,,3,1,Female,English,
1738,condition1,20,Yes,The word HIT is confusing and I am taking it to mean the experiment??,2,1,Female,English,
1678,condition1,45,Confused,,4,1,Male,English,
1749,condition1,24,Yes,,1,2,Male,English,
1739,condition1,27,Confused,,2,1,Female,English and Portuguese,
1602,condition1,30,Yes,,2,1,Female,English,
1622,condition1,20,Yes,"I think some questions were definitely harder than others to decide definitively. Otherwise, everything was straightforward. ",2,2,Female,English,
1642,condition1,50,Yes,,3,2,Female,English,
1693,condition1,26,Yes,,3,1,Female,english,
1732,condition1,49,Yes,"I enjoyed it, it was different.",4,2,Female,English,
1718,condition1,59,Yes,,2,2,Female,English,
1703,condition1,30,Yes,Yes!,4,1,Female,English,
1641,condition1,67,Yes,,2,1,Male,english,
1600,condition1,22,Yes,,3,1,Female,english,
1694,condition1,29,Yes,There was no point to the sliding scale.,2,0,Male,English,
1691,condition1,41,Yes,"i think clear yes/no answers would've made more sense for this.  it's either yes or no, not a percentage or sliding scale in my opinion",1,2,Male,english,
1628,condition1,23,Yes,,2,1,Male,english,
1669,condition1,21,Yes,Very interesting study. Thank You!,1,2,Male,English,
1603,condition1,25,Yes,,3,1,Male,English,
1639,condition1,21,Yes,,2,1,Female,English,
1624,condition1,35,Yes,,3,1,Male,English,
1705,condition1,23,Yes,It would be nice to have a counter showing how many questions are left,3,1,Female,English,
1684,condition1,22,Yes,,3,1,Female,English,
1637,condition1,26,Yes,,3,1,Female,English,
1605,condition1,45,Yes,,1,2,Male,English,
1692,condition1,29,Yes,I was curious as to the purpose of the study,4,2,Male,English,
1747,condition1,19,Yes,,1,2,Male,English,
1695,condition1,27,Yes,,2,1,Male,english,
1668,condition1,32,Yes,,4,1,Female,English,
1700,condition1,62,Yes,"That was fun, if a bit tricky.. Thanks for the opportunity. Good luck with your study",3,2,Female,English,
1712,condition1,32,Yes,,3,1,Male,English,
1743,condition1,44,Yes,,2,1,Male,English,
1670,condition1,69,Yes,,3,2,Female,English,
1647,condition1,44,Yes,Great study!!,3,1,Male,English,
1625,condition1,36,Yes,,2,1,Male,English,
1664,condition1,45,Yes,,3,1,Male,English,
1645,condition1,35,Yes,,2,1,Female,English,
1722,condition1,38,Yes,Fun,3,2,Male,English,
1724,condition1,38,Yes,"it was very repetitive and most of the answers were no. it was straight forward, really.",2,1,Female,english,
1709,condition1,46,Yes,,3,1,Male,English,
1698,condition1,40,Yes,Have a great day!,3,1,Female,English,
1607,condition1,19,Confused,Not really,0,0,Male,Polsih,
1634,condition1,24,Yes,,2,1,Female,English,
1720,condition1,44,Yes,Good luck on your study!,2,1,Female,English ,
1716,condition1,23,Yes,,2,1,Female,English ,
1675,condition1,26,Yes,,3,2,Female,English,
1673,condition1,38,Yes,,4,2,Male,English,
1630,condition1,27,Yes,,3,1,Male,English,
1746,condition1,33,Confused,This was confusing,3,1,Female,ENGLISH,
1690,condition1,30,Yes,,4,1,Male,English,
1737,condition1,19,Yes,,1,1,Male,english,
1671,condition1,33,Yes,,4,2,Female,English,
1626,condition1,59,Yes,I think I nailed it. :),3,2,Female,English,
1657,condition1,21,Yes,,2,1,Male,English,
1615,condition1,63,Yes,No but it was interesting,4,1,Male,English,
1676,condition1,31,Yes,,3,1,Male,English,
1649,condition1,55,Yes,So how did I do?,1,1,Male,English ,
1728,condition1,27,Yes,N/a,3,1,Male,English,
1699,condition1,24,Yes,,0,1,Female,English,
1682,condition1,23,Yes,"the experiment seemed pretty straightforward, nothing really stood out to me. some of the sentences seemed like trick questions (not the attention check ones) but it was easy to comprehend and complete everything",2,1,Female,english,
1677,condition1,29,Yes,,1,2,Female,English,
1725,condition1,29,Yes,,4,1,Female,english,
1633,condition1,30,Yes,,4,-1,Female,English,
1660,condition1,43,,none ,1,1,,English,
1648,condition1,23,Yes,,2,1,Female,Emglish,
1713,condition1,25,Yes,I thought the questions were quite fascinating.,2,2,Male,English,
1598,condition1,22,Yes,,3,1,Other,English,
1599,condition1,51,Yes,Some sentences did have verbs that had the same tense so the sentence didn't make sense.,2,1,Female,English,
1710,condition1,38,Yes,,3,2,Female,English ,
1611,condition1,46,Yes,,3,1,Male,english,
1627,condition1,23,Yes,,2,1,Female,english,
1708,condition1,34,Yes,,1,1,Male,english,
1632,condition1,36,Yes,,3,1,Male,English ,
1612,condition1,27,Yes,,4,1,Female,English,
1715,condition1,32,Yes,,2,1,Male,English,
1659,condition1,36,Yes,N/A,3,1,Female,English,
1730,condition1,58,Yes,No,1,2,Male,English,
1661,condition1,29,Yes,,2,1,Male,English,
1652,condition1,36,Yes,,3,2,Male,English,
1620,condition1,53,Yes,,4,1,Female,English,
1651,condition1,27,Yes,,3,1,Male,english,
1656,condition1,36,Confused,None,2,1,Female,English ,
1727,condition1,35,Yes,,2,1,Male,English,
1711,condition1,20,Yes,,1,1,Female,English,
1665,condition1,19,Yes,,1,2,Male,English,
1706,condition1,29,Yes,,3,1,Female,english,
1608,condition1,23,Yes,It might be better to just have buttons for yes or no rather than sliders,3,2,Male,English,
1679,condition1,18,Yes,,2,1,Male,English/French,
1707,condition1,35,Yes,,1,1,Male,english,
1617,condition1,55,Yes,,3,1,Male,Engllish,
1596,condition1,24,Yes,,4,1,Male,English,
1672,condition1,30,Yes,,4,1,Female,English,
1740,condition1,66,Yes,Thank you for the opportunity to participate.,2,1,Female,English,
1697,condition1,20,Yes,,2,1,Female,,
1719,condition1,21,Yes,,2,1,Other,English,
1653,condition1,23,Yes,,3,1,Male,English,
1735,condition1,30,Yes,,3,2,Male,English,
1729,condition1,43,Yes,"There were just a few sentences I wasn't absolutely sure what to answer on the scale; just did the best I could on those. :) As I love English and grammar, I found this a lot of fun. ",3,2,Female,English,
1685,condition1,23,Yes,,3,1,Female,English,
1643,condition1,22,Confused,"I was a little bit confused about how most of these could have a ""yes"" answer (other than the ""obvious"" ones). Pretty much all of them didn't seem like the answer would be ""yes"" in any way.",2,1,Male,English,
1667,condition1,28,Yes,,4,2,Male,English,
1736,condition1,30,Yes,no,2,2,Male,english,
1631,condition1,25,Yes,I enjoyed doing this job,1,2,Female,English,
1666,condition1,23,Yes,N/A,3,1,Female,English,
1674,condition1,24,Yes,,4,2,Male,Greek,
1696,condition1,24,Yes,,0,1,Other,English,
1629,condition1,21,Yes,,3,1,Male,English,
1680,condition1,32,Yes,,3,1,Female,English ,
1731,condition1,26,Yes,Thank you,1,2,Female,English,
1618,condition1,19,Yes,The survey was very straightforward. Not much I feel the need to say really.,2,1,Male,Spanish,
1726,condition1,53,Yes,,4,2,Female,English,
1601,condition1,33,Yes,,2,1,Male,English,
1619,condition1,22,Yes,"If I am not mistaken, the rules mentioned easy to answer questions among the overall questions. Showing those easy questions and the expected answer at the end of the study would be awesome.",3,1,Male,English,
1650,condition1,23,Yes,,2,1,Male,English,
1734,condition1,53,Yes,Would be curious to know what you're studying; a debriefing would be nice.,2,2,Female,English,
1662,condition1,65,Yes,,4,0,Female,English,
1614,condition1,37,Yes,,3,2,Female,English ,
1688,condition1,33,Yes,"It was slightly confusing, thats what i liked about it. I was challenged more than usual.",2,1,Male,English,
1623,condition1,,Yes,,2,2,Female,,
1681,condition1,36,Yes,,3,1,Female,english,
1748,condition1,35,Yes,,3,1,Male,English,
1687,condition1,30,Yes,None,4,2,Female,English,
1654,condition1,48,Yes,It was different which I enjoyed,2,2,Female,English,
1744,condition1,23,Yes,,3,2,Male,English,
1658,condition1,36,Yes,,2,1,Male,English,
1689,condition1,44,Yes,,2,1,Male,English,
1635,condition1,63,Yes,,1,2,Male,English,
1597,condition1,50,Yes,N/A,3,2,Male,English,
1610,condition1,20,Yes,,2,1,Female,English,
1636,condition1,32,Yes,,4,1,Female,English,
1640,condition1,39,Yes,Nothing to add,3,1,Male,English,
1609,condition1,31,Yes,,4,2,Male,English,
1638,condition1,27,Yes,,4,2,Female,English,
1723,condition1,23,Yes,,2,2,Male,English,
1663,condition1,37,Yes,,3,1,Female,English,
1616,condition1,35,Yes,,4,1,Female,English,
1646,condition1,21,Yes,,2,1,Female,English ,
