workerid,proliferate.condition,Browser,OS,screenH,screenW,error
1686,condition1,Chrome,Windows,720,1280,
1701,condition1,Chrome,Linux,869,412,
1613,condition1,Chrome,Windows,1080,1920,
1604,condition1,Firefox,Windows,864,1536,
1733,condition1,Chrome,Windows,720,1280,
1745,condition1,Chrome,Windows,864,1536,
1606,condition1,Chrome,Linux,869,412,
1704,condition1,Chrome,Mac,1050,1680,
1683,condition1,Chrome,Windows,720,1280,
1717,condition1,Chrome,Linux,768,1366,
1644,condition1,Chrome,Mac,1080,1920,
1721,condition1,Chrome,Windows,768,1366,
1714,condition1,Firefox,Linux,920,414,
1741,condition1,Chrome,Linux,1024,768,
1738,condition1,Chrome,Windows,768,1366,
1678,condition1,Chrome,Windows,1080,1920,
1749,condition1,Chrome,Windows,768,1360,
1739,condition1,Chrome,Linux,640,360,
1602,condition1,Chrome,Mac,800,1280,
1622,condition1,Chrome,Mac,900,1440,
1642,condition1,Chrome,Windows,720,1280,
1693,condition1,Chrome,Windows,1152,2048,
1732,condition1,Chrome,Windows,768,1366,
1718,condition1,Safari,Mac,900,1440,
1703,condition1,Chrome,Windows,768,1366,
1641,condition1,Chrome,Windows,1080,1920,
1600,condition1,Chrome,Windows,979,1739,
1694,condition1,Chrome,Windows,864,1536,
1691,condition1,Chrome,Windows,720,1280,
1628,condition1,Firefox,Windows,1080,1920,
1669,condition1,Safari,iPhone/iPod,667,375,
1603,condition1,Chrome,Linux,768,1366,
1639,condition1,Safari,iPhone/iPod,896,414,
1624,condition1,Chrome,Mac,900,1440,
1705,condition1,Safari,Mac,800,1280,
1684,condition1,Safari,iPhone/iPod,896,414,
1637,condition1,Chrome,Linux,808,393,
1605,condition1,Chrome,Windows,864,1536,
1692,condition1,Firefox,Mac,800,1280,
1747,condition1,Chrome,Windows,720,1280,
1695,condition1,Chrome,Windows,864,1536,
1668,condition1,Chrome,Windows,1080,1920,
1700,condition1,Chrome,Windows,768,1366,
1712,condition1,Firefox,Windows,720,1280,
1743,condition1,Chrome,Windows,720,1280,
1670,condition1,Safari,iPhone/iPod,736,414,
1647,condition1,Firefox,Windows,768,1366,
1625,condition1,Firefox,Linux,851,414,
1664,condition1,Chrome,Windows,900,1600,
1645,condition1,Chrome,Windows,900,1600,
1722,condition1,Chrome,Linux,720,360,
1724,condition1,Chrome,Windows,900,1440,
1709,condition1,Chrome,Linux,864,432,
1698,condition1,Chrome,Linux,675,1080,
