workerid,assignmentid
0,3K5TEWLKGVBV0WOW7BJUWN70AULVI9
1,34S9DKFK73P4IRUS92J68U7BEAHNYQ
2,3MD9PLUKKIE4NH4X5OLPM1GDK4LNZH
3,3TVSS0C0E10YOZ4CRXNUWWSNSK7WT5
4,3570Y55XZPJY8ZD6MY6BIAYEDYVYGT
5,3C2NJ6JBKAHEH61LGHCBZQ66ZVMN29
6,3K772S5NP8BE2QRQ63CZW7IZAMAHE3
7,3ZY8KE4ISJ38HUCFKJO35PYM142VQC
8,3PB5A5BD0V6FTFH5ZPGB5XEH9ZXG7L
9,3TR2532VIPU6GHT1OLWMWW616GJJ6I
10,34S9DKFK73P4IRUS92J68U7BEAHYN1
11,3180JW2OT4CAXDTNJ2MH4QS1AL8J52
12,34X6J5FLPTYZQZCL3UAK21NS6HVQJM
13,3SPJ03342138Z137U4REFNQU5QHYJ2
14,3PMBY0YE2736QMPTC0ICT2K86XPC9F
15,351SEKWQS0HV2YE115HSIU8ARW8MDO
16,3OS4RQUCR9FWHRO01MM9SE01RAKFB3
17,34Q075JO1XD47PRIW7AZJV0OZXE10E
18,39OWYR0EPKRSUZHBBE0T0PY2CJVYFU
19,3SNLUL3WO4NXDI72NO62SHX9DR6ULX
20,3EFVCAY5L39TKVCPH0TKGA2SCB9J84
21,3G0WWMR1UVKV9P36IS2CV849F10QNQ
22,3IQ1VMJRYTKIX7SVSMMLN7UK6UXA94
23,3L2IS5HSFAIN1IANZ1MH591YIM6UNZ
24,3ZWFC4W1UU7JXY5PXJ8ZST559WNRFS
25,3CPLWGV3MOZPHQMK1QRQ9DEK513N98
26,3OS4RQUCR9FWHRO01MM9SE01RADBFS
27,3K772S5NP8BE2QRQ63CZW7IZAM3EHT
28,3F6HPJW4JD0440AZ8I3YV9JXS7QW29
29,3TUI152ZZBNSVIWHD54EY1R6C0VQ1I
30,3ZAK8W07I4EKGMIGYVKJUX5LATZU0S
31,33CID57104TDEOUJ84A158790EML3G
32,3GNCZX450IN3PU829BII9XUZBYMPAL
33,3SNVL38CI4SQ7I8KGX91JBYOHR1CK9
34,3S96KQ6I9M4ZFT4LA2I44832L4XTDP
35,392CY0QWG1RW6J5HNFI7NX7NXAOI4K
36,3RANCT1ZVFHL09LQWBH8EE141XSUBA
37,3TVSS0C0E10YOZ4CRXNUWWSNSK3WT1
38,3S06PH7KSR4Y69SC8JYUY2K7TL71DP
39,3M81GAB8A0JT8GE9F2X34D4FYCMBQM
40,3EJJQNKU9R53BUWVS9WZVEHIPBTRHJ
41,3UOUJI6MTDESDCOR179Q3BSWK0FUXI
42,3L0KT67Y8EG1Y4MXHY0S7OHH19PYSD
43,3I0BTBYZAXL1XV2L8WH8XIBY6H70YT
44,3O6CYIULED1DOCJ1R2D41SEPBYAWUS
45,3H7XDTSHKCRUJUI67XONXDDY2QVGWC
46,31QTRG6Q2TD4LC65PHWYCJC6EPIYPX
47,3UNH76FOCS5Y099SX146VFIB9K7YM1
48,3ZWFC4W1UU7JXY5PXJ8ZST559WGRFL
49,3FE2ERCCZX8SRY23JUN0ASE40FJOPC
50,3ND9UOO81K2A5MW7IOL3A5I6Y7HWLY
51,3SPJ03342138Z137U4REFNQU5QCYJX
52,3RSDURM96AM0OLHFG3GNI7D20IGYEC
53,3QY5DC2MXRKBDQX61D34X4SPGVKUFS
54,3X4MXAO0BGOL8KRKN8IZWHR54Z6WRO
55,3YWRV122CSZ2YBNJTZXYNCB3TR78UP
56,3R6P78PK7KB2RDECCSJCAT6ZYWDGTM
57,3WI0P0II61SMZERT6DD94T2KXJ0RDA
58,34Z02EIMISD5G93RYQU9P1JJRFOT0W
59,3NKQQ8O39Y5EF6JAA78E94P44I4UDH
60,3X3OR7WPZZ0ZFL0PKL5XWPFKG0EL88
61,3E13VNJ1NNVFEK8Y0XZ5PZ0KLQEI17
62,33FOTY3KEMLO1HMY8N3JEW2P8LV1CP
63,37FMASSAYCRGRIQQ2USUVBDT725BIJ
64,3OONKJ5DKCJQN41T0P5ZF89FJB4OBR
65,35GMH2SV3EHOU7DDAG7PGGF0M8HOER
66,3MRNMEIQW56BWGWG1TGDIHTLRRBLDE
67,30ZX6P7VF8VIYGA01JKJ6JPPQBHJ21
68,30BXRYBRP4X8JQDHR365IDPZHQ8WHR
69,35LDD5557A43G4KBTM3FM730B5YKMS
70,3T3IWE1XG6NT428QFOOO47A14JTTQ1
71,3U5JL4WY5K9TWEUCM1I8Q7U2LNZX46
72,31HQ4X3T3SAHY5FYYJB2DGFLSULSLF
73,3X66WABAJWIXSWGIXDDLSG214X0G35
74,3KAKFY4PGU2BONMDN1DODSFHJASI3Z
75,3KB8R4ZV1E72VRKVC6SRAZ0DSPDGBW
76,3JMSRU9HQIUJKRMABST3B898I1EVE0
77,3I7DHKZYGN0USB7R0CVWPS09HERF5V
78,3WQQ9FUS6AUN2CEDT8G3IMJF460B8B
79,3H0W84IWBK2RRK5T28OTABK5XV6ERV
80,39U1BHVTDLR1X12OHDCSRZHQUR8T3R
