enjoyment,age,language,asses,workerid,comments,education,gender
2,37,English,Yes,0,,4,Male
2,25,English,Yes,1,,3,Male
0,27,ENGLISH ,,2,thank you,4,Male
1,29,English,Yes,3,good,3,Female
2,45,English ,Yes,4,Very interactive,3,Male
2,35,English,Yes,5,nice,4,Female
2,30,English,Yes,6,good,3,Male
2,26,English,Yes,7,,2,Male
2,44,English,Yes,8,Thank you,2,Male
2,60,English,Yes,9,Different type of hit.,2,Female
2,28,English,Yes,10,No Comments,3,Male
2,55,english,Yes,11,good task,3,Male
2,40,english,Yes,12,i would like to work on this study,3,Male
2,28,English,No,13,good study,3,Male
1,32,English,Yes,14,,3,Female
2,32,English,Yes,15,This is very interesting and I like to do it,3,Female
2,35,English ,Yes,16,,3,Female
2,46,English,Yes,17,Its very interested,3,
2,29,english,No,18,,2,Female
2,28,English,Yes,19,good study.,-1,Male
2,24,English,Yes,20,Interesting hit it was.,3,Male
2,30,english,Yes,21,i have none,2,Female
1,33,English,Yes,22,very nice,3,Male
1,32,English ,Yes,23,NO,3,Male
2,26,English,Yes,24,"It was a fun hit to work on, thanks.",3,Female
2,22,English,Yes,25,,1,Male
2,32,English,Yes,26,,3,Male
2,51,English,Yes,27,interesting. Makes one think about the nuances of language. ,1,Female
1,33,English,Yes,28,,1,Female
1,33,english,Yes,29,for the language experience,3,Male
2,60,English,Confused,30,,3,Male
1,27,English,Yes,31,,3,Male
2,32,ENGLISH,Yes,32,,3,Male
1,36,english,Yes,33,None,1,Male
2,25,English,Yes,34,great study.,3,Female
2,30,English,Yes,35,good,4,Female
2,27,English,Yes,36,,3,Male
1,40,english,Yes,37,this survey is very easy.,3,Female
1,32,english,Yes,38,,3,Male
2,32,English,Yes,39,excellent,4,Male
2,29,English,Yes,40,none,3,Male
2,48,English,Yes,41,It is very interesting.,3,Female
2,34,english,Yes,42,,3,Male
2,50,english,Yes,43,Everything worked great.,1,Female
2,37,English,No,44,,3,Female
2,35,English,No,45,Good and stress free.,4,Male
1,63,ENGLISH,Yes,46,,2,Male
2,29,english,Yes,47,,2,Female
1,30,English,,48,No Comments,3,Male
2,32,english,Confused,49,like ,3,Male
1,38,English,Yes,50,,3,Male
2,46,english,No,51,,2,Female
2,30,English,Yes,52,,3,Male
2,45,English,Yes,53,different and interesting,3,Female
2,35,English,Yes,54,,3,Male
2,31,english,Yes,55,,0,Female
1,35,english,Yes,56,nice,3,Female
2,31,English,Yes,57,Very thankful for a fair requester. When requesters pay well I feel appreciated and thankful.,2,Male
2,40,English,Yes,58,Nice,3,Male
2,34,English,Yes,59,Good,3,Male
1,28,english,Yes,60,good,3,Male
2,35,English,Yes,61,Interesting,3,Female
2,29,English,Yes,62,Very interesting and enjoyed,3,Male
1,36,English,No,63,,4,Male
2,39,English,Yes,64,ty,2,Male
1,42,ENGLISH,,65,,3,Female
2,46,english,Yes,66,,3,Male
1,61,English,Yes,67,good,3,Female
2,38,English,Yes,68,"Fun study, thanks!",3,Male
2,34,ENGLISH,Yes,69,GOOD,3,Female
2,25,English,Yes,70,nothing,3,Male
1,49,English,Yes,71,,4,Male
2,44,English,Yes,72,none.,4,Male
2,32,english,Yes,73,thank you,4,Male
2,44,English,No,74,,3,Male
2,29,English,Yes,75,Nothing,3,Female
2,60,eng,Yes,76,,2,Female
1,30,English ,Yes,77,the experiment is good,4,Male
1,29,English,Yes,78,good ,3,Female
2,29,English ,Yes,79,,2,Male
2,37,English,Yes,80,"It was interesting, Thanks! I would certainly do more of these if they are available. ",2,Female
1,36,English,Yes,81,I enjoyed this survey,2,Female
1,33,english,Yes,82,,3,Male
2,27,English ,Yes,83,cool work ,4,Male
2,27,English ,Yes,84,nice work,4,Female
1,33,English,Yes,85,thanks,3,Male
1,30,English,Yes,86,,2,Male
1,30,ENGLISH,Yes,87,GOOD,3,Male
1,50,english,Confused,88,no,3,Male
2,28,Spanish and English,Yes,89,,3,Male
2,36,English,Yes,90,na,4,Male
