workerid,proliferate.condition,error
135,experiment,
70,experiment,
104,experiment,
169,experiment,
152,experiment,
120,experiment,
151,experiment,
78,experiment,
36,experiment,
121,experiment,
147,experiment,
117,experiment,
56,experiment,
163,experiment,
114,experiment,
83,experiment,
154,experiment,
79,experiment,
37,experiment,
179,experiment,
129,experiment,
50,experiment,
74,experiment,
144,experiment,
30,experiment,
190,experiment,
166,experiment,
194,experiment,
180,experiment,
85,experiment,
101,experiment,
35,experiment,
162,experiment,
96,experiment,
173,experiment,
49,experiment,
171,experiment,
156,experiment,
150,experiment,
87,experiment,
178,experiment,
176,experiment,
71,experiment,
167,experiment,
90,experiment,
32,experiment,
63,experiment,
111,experiment,
68,experiment,
123,experiment,
138,experiment,
155,experiment,
46,experiment,
125,experiment,
103,experiment,
72,experiment,
54,experiment,
137,experiment,
57,experiment,
48,experiment,
81,experiment,
140,experiment,
86,experiment,
51,experiment,
34,experiment,
142,experiment,
39,experiment,
38,experiment,
47,experiment,
177,experiment,
113,experiment,
128,experiment,
53,experiment,
92,experiment,
106,experiment,
127,experiment,
132,experiment,
145,experiment,
186,experiment,
59,experiment,
66,experiment,
93,experiment,
62,experiment,
89,experiment,
45,experiment,
192,experiment,
52,experiment,
188,experiment,
100,experiment,
189,experiment,
131,experiment,
61,experiment,
44,experiment,
73,experiment,
165,experiment,
175,experiment,
98,experiment,
112,experiment,
124,experiment,
65,experiment,
64,experiment,
95,experiment,
158,experiment,
157,experiment,
174,experiment,
55,experiment,
184,experiment,
31,experiment,
105,experiment,
119,experiment,
99,experiment,
28,experiment,
115,experiment,
185,experiment,
69,experiment,
91,experiment,
29,experiment,
67,experiment,
196,experiment,
75,experiment,
134,experiment,
160,experiment,
76,experiment,
82,experiment,
88,experiment,
77,experiment,
183,experiment,
60,experiment,
33,experiment,
40,experiment,
172,experiment,
122,experiment,
107,experiment,
170,experiment,
153,experiment,
187,experiment,
80,experiment,
146,experiment,
42,experiment,
168,experiment,
141,experiment,
136,experiment,
193,experiment,
43,experiment,
58,experiment,
161,experiment,
108,experiment,
130,experiment,
143,experiment,
