workerid,proliferate.condition,Browser,OS,screenH,screenW,error
135,experiment,Chrome,Windows,1080,1920,
70,experiment,Firefox,Windows,864,1536,
104,experiment,Chrome,Windows,900,1600,
169,experiment,Chrome,Windows,768,1366,
152,experiment,Chrome,Windows,768,1366,
120,experiment,Chrome,Mac,900,1440,
151,experiment,Chrome,Windows,1080,1920,
78,experiment,Chrome,Windows,768,1366,
36,experiment,Chrome,Windows,900,1440,
121,experiment,Chrome,Mac,800,1280,
147,experiment,Chrome,Windows,1080,1920,
117,experiment,Chrome,Windows,1080,1920,
56,experiment,Chrome,Windows,864,1536,
163,experiment,Chrome,Windows,1080,1920,
114,experiment,Chrome,Windows,1024,1280,
83,experiment,Chrome,Windows,1080,1920,
154,experiment,Chrome,Mac,900,1440,
79,experiment,Chrome,Windows,720,1280,
37,experiment,Firefox,Windows,1080,1920,
179,experiment,Firefox,Windows,900,1600,
129,experiment,Chrome,Mac,900,1440,
50,experiment,Chrome,Mac,900,1440,
74,experiment,Chrome,Windows,1050,1680,
144,experiment,Chrome,Windows,900,1600,
30,experiment,Chrome,Windows,1440,2560,
190,experiment,Chrome,Mac,800,1280,
166,experiment,Firefox,Windows,1080,1920,
194,experiment,Chrome,Windows,864,1536,
180,experiment,Chrome,Windows,768,1366,
85,experiment,Chrome,Windows,768,1366,
101,experiment,Chrome,Windows,1080,1920,
35,experiment,Chrome,Mac,900,1440,
162,experiment,Chrome,Windows,720,1280,
96,experiment,Firefox,Windows,864,1536,
173,experiment,Firefox,Windows,1080,1920,
49,experiment,Chrome,Mac,900,1440,
171,experiment,Chrome,Windows,1000,1500,
156,experiment,Chrome,Windows,768,1366,
150,experiment,Chrome,Windows,864,1536,
87,experiment,Chrome,Windows,864,1536,
178,experiment,Chrome,Windows,768,1366,
176,experiment,Chrome,Windows,912,1368,
71,experiment,Chrome,Windows,1080,1920,
167,experiment,Chrome,Windows,1080,1920,
90,experiment,Chrome,Mac,900,1440,
32,experiment,Chrome,Windows,1080,1920,
63,experiment,Firefox,Windows,1080,1920,
111,experiment,Chrome,Windows,960,1707,
68,experiment,Firefox,Mac,800,1280,
123,experiment,Firefox,Mac,800,1280,
