workerid,proliferate.condition,time_in_minutes,error
135,experiment,6.958983333333333,
70,experiment,2.8073166666666665,
104,experiment,13.963216666666666,
169,experiment,8.52645,
152,experiment,3.397683333333333,
120,experiment,4.040816666666666,
151,experiment,5.02385,
78,experiment,5.182633333333333,
36,experiment,5.3264,
121,experiment,4.111933333333333,
147,experiment,3.1998,
117,experiment,22.087466666666668,
56,experiment,6.713566666666667,
163,experiment,3.9608333333333334,
114,experiment,4.9513,
83,experiment,4.816,
154,experiment,3.86045,
79,experiment,5.800716666666666,
37,experiment,4.1263,
179,experiment,5.46,
129,experiment,37.218333333333334,
50,experiment,5.630016666666666,
74,experiment,5.079233333333334,
144,experiment,3.48815,
30,experiment,6.087066666666667,
190,experiment,4.7181,
166,experiment,4.2049666666666665,
194,experiment,4.988916666666666,
180,experiment,4.735133333333334,
85,experiment,6.285516666666667,
101,experiment,1.9790666666666668,
35,experiment,6.108183333333334,
162,experiment,5.939133333333333,
96,experiment,5.7725333333333335,
173,experiment,4.53995,
49,experiment,4.207016666666667,
171,experiment,11.84335,
156,experiment,3.558683333333333,
150,experiment,5.563466666666667,
87,experiment,6.1727,
178,experiment,9.1491,
176,experiment,3.9568666666666665,
71,experiment,4.324683333333334,
167,experiment,5.1657,
90,experiment,4.874033333333333,
32,experiment,5.7471,
63,experiment,4.998966666666667,
111,experiment,6.703633333333333,
68,experiment,4.530666666666667,
123,experiment,4.66525,
138,experiment,7.304216666666667,
155,experiment,11.460916666666666,
46,experiment,4.70895,
125,experiment,5.35435,
103,experiment,5.312966666666667,
72,experiment,4.0216666666666665,
54,experiment,4.756033333333333,
137,experiment,2.55745,
57,experiment,3.4097166666666667,
48,experiment,9.409216666666667,
81,experiment,5.558483333333333,
140,experiment,4.241983333333334,
86,experiment,5.084633333333334,
51,experiment,4.794366666666667,
34,experiment,3.9471333333333334,
142,experiment,4.534516666666667,
39,experiment,9.633183333333331,
38,experiment,5.79145,
47,experiment,5.43245,
177,experiment,5.330566666666667,
113,experiment,4.488383333333333,
128,experiment,5.4849,
53,experiment,3.647883333333333,
92,experiment,7.302216666666666,
106,experiment,5.440933333333334,
127,experiment,4.3034,
132,experiment,4.92235,
145,experiment,4.125633333333333,
186,experiment,4.168683333333333,
59,experiment,10.221316666666668,
66,experiment,3.161383333333333,
93,experiment,4.457433333333333,
62,experiment,5.748116666666666,
89,experiment,6.601966666666667,
45,experiment,11.63445,
192,experiment,4.932316666666667,
52,experiment,5.716116666666666,
188,experiment,3.528966666666667,
100,experiment,4.516233333333333,
189,experiment,4.881766666666667,
131,experiment,1.4684166666666667,
61,experiment,5.710666666666667,
44,experiment,6.037866666666667,
73,experiment,3.9873833333333337,
165,experiment,4.3059,
175,experiment,8.244783333333332,
98,experiment,3.4083,
112,experiment,5.24015,
124,experiment,7.581783333333333,
65,experiment,5.388483333333333,
64,experiment,4.248216666666667,
95,experiment,7.409216666666667,
158,experiment,5.397616666666667,
157,experiment,5.4045,
174,experiment,17.626183333333334,
55,experiment,3.860716666666667,
184,experiment,3.881033333333334,
31,experiment,5.6483,
105,experiment,3.6346,
119,experiment,6.48775,
99,experiment,5.392816666666667,
28,experiment,4.4655,
115,experiment,3.6838333333333337,
185,experiment,5.076516666666667,
69,experiment,6.993566666666666,
91,experiment,2.8890666666666664,
29,experiment,9.1322,
67,experiment,5.783283333333333,
196,experiment,5.283483333333334,
75,experiment,4.923183333333333,
134,experiment,4.420233333333333,
160,experiment,6.0430166666666665,
76,experiment,4.284583333333333,
82,experiment,6.7430666666666665,
88,experiment,9.132683333333333,
77,experiment,4.30085,
183,experiment,5.213783333333334,
60,experiment,4.679866666666666,
33,experiment,7.492533333333333,
40,experiment,2.5603666666666665,
172,experiment,5.251083333333334,
122,experiment,4.0735166666666665,
107,experiment,3.3728833333333332,
170,experiment,2.8279666666666667,
153,experiment,3.112216666666667,
187,experiment,4.107466666666666,
80,experiment,5.394716666666667,
146,experiment,5.225233333333334,
42,experiment,5.961866666666666,
168,experiment,3.9071666666666665,
141,experiment,3.0791833333333334,
136,experiment,5.7554,
193,experiment,5.181916666666667,
43,experiment,4.122633333333333,
58,experiment,3.587266666666667,
161,experiment,7.823066666666667,
108,experiment,5.897033333333333,
130,experiment,3.363933333333333,
143,experiment,3.1290333333333336,
