workerid,proliferate.condition,error
309,experiment,
329,experiment,
246,experiment,
320,experiment,
258,experiment,
276,experiment,
285,experiment,
273,experiment,
324,experiment,
212,experiment,
330,experiment,
235,experiment,
328,experiment,
290,experiment,
199,experiment,
339,experiment,
323,experiment,
322,experiment,
345,experiment,
314,experiment,
249,experiment,
342,experiment,
247,experiment,
326,experiment,
239,experiment,
337,experiment,
238,experiment,
316,experiment,
227,experiment,
302,experiment,
266,experiment,
338,experiment,
243,experiment,
352,experiment,
252,experiment,
216,experiment,
256,experiment,
201,experiment,
211,experiment,
209,experiment,
269,experiment,
257,experiment,
315,experiment,
335,experiment,
292,experiment,
229,experiment,
301,experiment,
308,experiment,
279,experiment,
275,experiment,
231,experiment,
234,experiment,
319,experiment,
293,experiment,
248,experiment,
284,experiment,
333,experiment,
271,experiment,
307,experiment,
287,experiment,
274,experiment,
310,experiment,
336,experiment,
344,experiment,
224,experiment,
297,experiment,
355,experiment,
332,experiment,
317,experiment,
198,experiment,
327,experiment,
240,experiment,
263,experiment,
203,experiment,
303,experiment,
210,experiment,
245,experiment,
294,experiment,
288,experiment,
265,experiment,
304,experiment,
349,experiment,
298,experiment,
242,experiment,
236,experiment,
268,experiment,
354,experiment,
311,experiment,
280,experiment,
313,experiment,
295,experiment,
289,experiment,
270,experiment,
296,experiment,
350,experiment,
277,experiment,
259,experiment,
347,experiment,
325,experiment,
222,experiment,
213,experiment,
207,experiment,
260,experiment,
218,experiment,
208,experiment,
312,experiment,
267,experiment,
321,experiment,
253,experiment,
250,experiment,
305,experiment,
202,experiment,
283,experiment,
241,experiment,
226,experiment,
237,experiment,
278,experiment,
214,experiment,
262,experiment,
341,experiment,
264,experiment,
225,experiment,
219,experiment,
228,experiment,
205,experiment,
251,experiment,
299,experiment,
318,experiment,
348,experiment,
233,experiment,
204,experiment,
272,experiment,
244,experiment,
230,experiment,
306,experiment,
281,experiment,
346,experiment,
300,experiment,
232,experiment,
217,experiment,
220,experiment,
200,experiment,
206,experiment,
291,experiment,
221,experiment,
331,experiment,
343,experiment,
351,experiment,
255,experiment,
215,experiment,
