workerid,proliferate.condition,Word,content,exp,object,response,rt,slide_number_in_experiment,speakerGender,speakerName,utterance,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
309,experiment,,,,,5bf3761862e1bc0001f15cb2,0,1,,,,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,,,,Elizabeth,Elizabeth,0,2,,,bot_check,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,squeal,Lucas bought new shoes,stim,,yes,10625,9,M,David,Did Anna squeal that Lucas bought new shoes?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,disgust,Frank got a cat,stim,,yes,6648,10,M,Robert,Is Regina disgusted that Frank got a cat?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,resent,Cole celebrated his friend's birthday,stim,,yes,8066,11,F,Carol,Did Nicole resent that Cole celebrated his friend's birthday?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,suppose,Grace visited her sister,stim,,no,6816,12,F,Lisa,Did Bobby suppose that Grace visited her sister?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,enjoy,Molly attended a conference last week,stim,,yes,7673,13,F,Betty,Did Patrick enjoy that Molly attended a conference last week?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,charm,Mary planted a tree,stim,,yes,5873,14,M,Paul,Is Dennis charmed that Mary planted a tree?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,,Zack is coming to the meeting tomorrow,control,,no,2881,15,M,George,Is Zack coming to the meeting tomorrow?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,anticipate,Hannah called her parents,stim,,yes,6160,16,F,Jennifer,Did Kevin anticipate that Hannah called her parents?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,whine,Courtney woke up early yesterday,stim,,yes,4553,17,F,Donna,Did Eli whine that Courtney woke up early yesterday?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,excite,Emma studied on Saturday morning,stim,,yes,7617,18,M,Thomas,Is Colby excited that Emma studied on Saturday morning?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,love,Charley spilled the wine,stim,,yes,4457,19,F,Ashley,Did Shirley love that Charley spilled the wine?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,shock,Louis went swimming,stim,,yes,9169,20,M,Kenneth,Is Ruth shocked that Louis went swimming?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,dictate,Josie went on vacation to France,stim,,yes,7409,21,M,Matthew,Did Jerry dictate that Josie went on vacation to France?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,trouble,Dylan argued with his parents,stim,,yes,4945,22,F,Margaret,Is Kaitlin troubled that Dylan argued with his parents?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,,Hendrick's car was expensive,control,,yes,2568,23,F,Kimberly,Was Hendrick's car expensive?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,pray,Valerie booked the venue,stim,,no,6513,24,M,Steven,Did Brian pray that Valerie booked the venue?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,joke,Allen went to the museum,stim,,no,4185,25,M,William,Did Laura joke that Allen went to the museum?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,thrill,Jayden rented a car,stim,,yes,3128,26,M,Christopher,Is Heather thrilled that Jayden rented a car?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,aggravate,Fred missed the train,stim,,yes,3184,27,F,Susan,Is Cynthia aggravated that Fred missed the train?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,scream,Danny ate the last cupcake,stim,,no,5288,28,F,Karen,Did Sharon scream that Danny ate the last cupcake?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
