workerid,proliferate.condition,Browser,OS,screenH,screenW,error
309,experiment,Chrome,Windows,1080,1920,
329,experiment,Chrome,Linux,768,1366,
246,experiment,Chrome,Windows,1200,1920,
320,experiment,Chrome,Linux,720,1280,
258,experiment,Chrome,Windows,720,1280,
276,experiment,Chrome,Mac,900,1440,
285,experiment,Chrome,Windows,768,1366,
273,experiment,Chrome,Mac,1200,1920,
324,experiment,Chrome,Windows,1067,1707,
212,experiment,Chrome,Windows,1080,1920,
330,experiment,Chrome,Windows,1080,1920,
235,experiment,Chrome,Windows,1080,1920,
328,experiment,Firefox,Mac,1050,1680,
290,experiment,Chrome,Windows,768,1024,
199,experiment,Chrome,Windows,1080,1920,
339,experiment,Chrome,Windows,1080,1920,
323,experiment,Chrome,Windows,1080,1920,
322,experiment,Chrome,Windows,864,1536,
345,experiment,Chrome,Mac,900,1440,
314,experiment,Firefox,Windows,864,1536,
249,experiment,Chrome,Windows,768,1366,
342,experiment,Firefox,Windows,1080,1920,
247,experiment,Chrome,Windows,720,1280,
326,experiment,Chrome,Windows,900,1600,
239,experiment,Chrome,Windows,1080,1920,
337,experiment,Chrome,Mac,800,1280,
238,experiment,Chrome,Windows,1080,1920,
316,experiment,Chrome,Windows,720,1280,
227,experiment,Chrome,Linux,768,1366,
302,experiment,Chrome,Windows,1080,1920,
266,experiment,Firefox,Windows,864,1536,
338,experiment,Firefox,Windows,864,1536,
243,experiment,Chrome,Windows,768,1366,
352,experiment,Chrome,Windows,900,1600,
252,experiment,Firefox,Windows,1080,1920,
216,experiment,Chrome,Windows,720,1280,
256,experiment,Chrome,Mac,900,1440,
201,experiment,Chrome,Windows,864,1536,
211,experiment,Chrome,Mac,900,1440,
209,experiment,Chrome,Windows,768,1366,
269,experiment,Chrome,Windows,1080,1920,
257,experiment,Chrome,Windows,864,1536,
315,experiment,Chrome,Mac,900,1440,
335,experiment,Firefox,Windows,1080,1920,
292,experiment,Chrome,Mac,900,1440,
229,experiment,Chrome,Mac,900,1440,
301,experiment,Firefox,Mac,900,1440,
308,experiment,Chrome,Windows,1440,2560,
279,experiment,Chrome,Mac,900,1440,
275,experiment,Chrome,Windows,1080,1920,
231,experiment,Safari,Mac,800,1280,
234,experiment,Chrome,Windows,864,1536,
319,experiment,Chrome,Windows,864,1536,
293,experiment,Chrome,Windows,720,1280,
248,experiment,Chrome,Windows,1080,1920,
284,experiment,Firefox,Windows,1080,1920,
333,experiment,Firefox,Mac,900,1440,
271,experiment,Chrome,Windows,1080,1920,
307,experiment,Chrome,Windows,1080,1920,
287,experiment,Chrome,Windows,720,1280,
274,experiment,Chrome,Windows,1080,1920,
310,experiment,Firefox,Windows,830,1708,
336,experiment,Chrome,Windows,1080,1920,
344,experiment,Safari,Mac,900,1440,
224,experiment,Firefox,Windows,1080,1920,
297,experiment,Chrome,Windows,864,1536,
355,experiment,Firefox,Mac,800,1280,
332,experiment,Chrome,Mac,900,1440,
317,experiment,Chrome,Windows,1080,1920,
198,experiment,Chrome,Windows,1080,1920,
327,experiment,Chrome,Windows,864,1536,
240,experiment,Chrome,Mac,900,1440,
263,experiment,Chrome,Linux,800,1200,
203,experiment,Chrome,Windows,864,1536,
303,experiment,Firefox,Windows,1080,1920,
210,experiment,Chrome,Windows,768,1366,
245,experiment,Firefox,Windows,1080,1920,
294,experiment,Chrome,Windows,864,1536,
288,experiment,Chrome,Windows,1080,1920,
265,experiment,Chrome,Mac,900,1440,
304,experiment,Chrome,Linux,768,1024,
349,experiment,Chrome,Mac,900,1440,
298,experiment,Chrome,Windows,1080,1920,
242,experiment,Chrome,Windows,864,1536,
236,experiment,Chrome,Windows,900,1440,
268,experiment,Chrome,Windows,768,1366,
