workerid,proliferate.condition,time_in_minutes,error
309,experiment,4.671,
329,experiment,6.079366666666667,
246,experiment,33.544783333333335,
320,experiment,7.629216666666666,
258,experiment,4.322,
276,experiment,9.557666666666666,
285,experiment,4.7107,
273,experiment,5.58255,
324,experiment,6.2511,
212,experiment,5.32785,
330,experiment,5.324333333333334,
235,experiment,3.9158,
328,experiment,7.816666666666666,
290,experiment,12.8983,
199,experiment,4.32395,
339,experiment,4.614533333333333,
323,experiment,6.035083333333334,
322,experiment,3.792283333333333,
345,experiment,3.1100833333333333,
314,experiment,4.567316666666667,
249,experiment,9.4108,
342,experiment,6.2072,
247,experiment,2.8892,
326,experiment,4.9315,
239,experiment,2.2262833333333334,
337,experiment,10.213866666666666,
238,experiment,3.8070166666666663,
316,experiment,10.675783333333332,
227,experiment,4.69165,
302,experiment,4.56685,
266,experiment,10.374733333333332,
338,experiment,5.31695,
243,experiment,9.752233333333333,
352,experiment,5.220583333333333,
252,experiment,11.073216666666667,
216,experiment,4.33155,
256,experiment,3.9196833333333334,
201,experiment,5.754083333333333,
211,experiment,3.5686166666666668,
209,experiment,17.300616666666667,
269,experiment,9.46305,
257,experiment,4.0957,
315,experiment,5.930116666666667,
335,experiment,5.854416666666666,
292,experiment,4.8941,
229,experiment,4.462083333333333,
301,experiment,11.324133333333334,
308,experiment,3.3426833333333335,
279,experiment,3.39715,
275,experiment,3.917333333333333,
231,experiment,6.5672,
234,experiment,17.141866666666665,
319,experiment,7.712433333333333,
293,experiment,5.593533333333333,
248,experiment,2.778966666666667,
284,experiment,5.1816,
333,experiment,4.618833333333333,
271,experiment,5.10195,
307,experiment,7.798983333333333,
287,experiment,4.466166666666667,
274,experiment,8.629816666666667,
310,experiment,10.669816666666666,
336,experiment,5.61385,
344,experiment,4.087466666666667,
224,experiment,10.5852,
297,experiment,6.8368166666666665,
355,experiment,8.161633333333333,
332,experiment,7.315666666666667,
317,experiment,6.479466666666666,
198,experiment,6.1207,
327,experiment,6.16935,
240,experiment,8.175783333333333,
263,experiment,4.091816666666666,
203,experiment,3.5916,
303,experiment,4.938833333333333,
210,experiment,5.369066666666667,
245,experiment,7.035633333333333,
294,experiment,12.507533333333331,
288,experiment,7.308383333333333,
265,experiment,4.4085,
304,experiment,7.840933333333333,
349,experiment,6.817116666666666,
298,experiment,10.7579,
242,experiment,9.09485,
236,experiment,8.54285,
268,experiment,4.8623,
354,experiment,11.464766666666666,
311,experiment,6.251966666666666,
280,experiment,4.219266666666667,
313,experiment,6.698483333333333,
295,experiment,4.336016666666667,
289,experiment,14.139716666666668,
270,experiment,3.54015,
296,experiment,8.12765,
350,experiment,3.4426666666666668,
277,experiment,8.2798,
259,experiment,7.86355,
347,experiment,6.1095,
325,experiment,5.440416666666667,
222,experiment,4.209266666666666,
213,experiment,5.609983333333333,
207,experiment,10.213433333333333,
260,experiment,6.6118,
218,experiment,3.3042166666666666,
208,experiment,9.147283333333334,
312,experiment,6.551616666666667,
267,experiment,5.21705,
321,experiment,3.93035,
253,experiment,1.9728,
250,experiment,5.27525,
305,experiment,5.514633333333333,
202,experiment,4.36245,
283,experiment,5.754716666666667,
241,experiment,5.93135,
226,experiment,4.767166666666666,
237,experiment,5.18815,
278,experiment,4.628683333333333,
214,experiment,9.247566666666666,
262,experiment,3.0943833333333335,
341,experiment,6.3064,
264,experiment,7.002166666666667,
225,experiment,5.49015,
219,experiment,5.235366666666667,
228,experiment,11.4092,
205,experiment,5.148733333333333,
251,experiment,6.28735,
299,experiment,5.78825,
318,experiment,5.12395,
348,experiment,3.27555,
233,experiment,5.225083333333333,
204,experiment,7.1147,
272,experiment,4.329666666666666,
244,experiment,3.3935166666666667,
230,experiment,12.6756,
306,experiment,7.33135,
281,experiment,4.419416666666667,
346,experiment,4.39665,
300,experiment,3.510466666666667,
232,experiment,4.454066666666667,
217,experiment,6.324533333333333,
220,experiment,5.051583333333333,
200,experiment,5.913483333333334,
206,experiment,3.4890166666666667,
291,experiment,3.674733333333333,
221,experiment,9.10285,
331,experiment,5.50745,
343,experiment,4.550783333333333,
351,experiment,6.0160833333333334,
255,experiment,4.5388,
215,experiment,4.0165,
